county,2006,2007,2008,2009,2010,2011,2012
Addison,11.3,5.5,2.9,2.5,3.3,8,3.4
Bennington,4.9,5.8,5.5,5.6,5.6,5.6,9
Caledonia,6.7,3.5,6,2.9,6.5,2.8,0
Chittenden,11.1,4.5,6.2,5.2,7,8.7,8
Essex,0,0,15.8,18.6,0,22,34.9
Franklin,6.1,7.8,6.1,7.7,4,11,6.7
Grand Isle,0,0,0,13.2,0,0,12.7
Lamoille,7.8,4.2,11.7,4.3,4.4,8.4,3.6
Orange,6.8,3.6,10.3,4,3.2,12.8,7.3
Orleans,7.8,0,11.6,11.2,6.1,0,18.3
Rutland,9.8,19.6,15.9,12.8,8.1,20.3,5.2
Washington,13.6,11.7,8.6,6.8,3.3,7.9,6.5
Windham,5.4,8.9,18,6.7,6.4,11.5,11.7
Windsor,16.9,11.5,14.7,9.6,4.9,9.1,10.4
